Temperature [degC],Current [A],SoC,C1 [F]
-20,-4.850127696990967,0.0,196.40229498646588
-20,-4.850127696990967,0.05,139.73223900829865
-20,-4.850127696990967,0.1,518.6351490096241
-20,-4.850127696990967,0.15000000000000002,475.81800472609973
-20,-4.850127696990967,0.2,444.41368701916883
-20,-4.850127696990967,0.25,601.9925879673657
-20,-4.850127696990967,0.30000000000000004,458.2903005281917
-20,-4.850127696990967,0.35000000000000003,385.46160154168683
-20,-4.850127696990967,0.4,382.70780771168893
-20,-4.850127696990967,0.45,460.0818342743393
-20,-4.850127696990967,0.5,516.1643017956222
-20,-4.850127696990967,0.55,79.86914809949701
-20,-4.850127696990967,0.6000000000000001,629.2442577060312
-20,-4.850127696990967,0.65,411.92496380176425
-20,-4.850127696990967,0.7000000000000001,1.1789276872518815
-20,-4.850127696990967,0.75,316.4821855034997
-20,-4.850127696990967,0.8,490.5092983410162
-20,-4.850127696990967,0.8500000000000001,455.98570294222543
-20,-4.850127696990967,0.9,442.51453589476006
-20,-4.850147247314453,0.9500000000000001,396.633330867534
-20,-2.660364151000977,1.0,601.9718795800452
